,follower_count,friend_count,geo,location,name,place,retweet_count,screen_name,source,status_id,status_text,time_zone,tmstamp
0,58,204,,"Ile-de-France, France",TitiHS,,0,Titi79HS,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",943203626029342721,"@Capetlevrai Tu as pris ton bénéf donc passe à autre chose. C'est dur mais c'est mieux, il m'est arriver la même su… https://t.co/kt5LdRtgMQ",Pacific Time (US & Canada),Tue Dec 19 19:37:22 +0000 2017
1,11750,7137,,Brum town,Mö Waveyy,,1,MoWaveyy,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",943203603975720960,RT @husspace: Verge #XVG is going to make a lot of millionaires by end of 2018.,,Tue Dec 19 19:37:17 +0000 2017
2,3,7,,,Court of the Crypto King,,0,Litcoin412,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",943203597134827520,"Dude... 

Elon is coming to my door.

$XVG 🙏🏻🙏🏻",,Tue Dec 19 19:37:16 +0000 2017
3,825,46,,Hollywood.,Enrique,,0,RebelQuique,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",943203581553004544,#XVG también utiliza soportes amplios de minería con algoritmos para mejorar la seguridad y dar una justa distribuc… https://t.co/SJQipV56Ze,Madrid,Tue Dec 19 19:37:12 +0000 2017
4,23,70,,"Hollywoo, Los Angeles",CryptoTodd,,0,ToddCrypto,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",943203569670508545,"@Beastlyorion Well this season $XVG and $ADA are going to be the twins correlated through out, like $SC and $DGB last summer.",Pacific Time (US & Canada),Tue Dec 19 19:37:09 +0000 2017
5,132,482,,India,Adil Siddiqui,,28,vmnutt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",943203564947509248,"RT @Cavanixvg: Xvg community is the best community in crypto 😁
$Xvg Hodl
@XVGWhale @xvgfish",New Delhi,Tue Dec 19 19:37:08 +0000 2017
6,259,0,,Turkey,BotsForCoins,,0,CatcherForYou,"<a href=""http://176.240.73.108"" rel=""nofollow"">coinsData</a>",943203547516166147,"22:30 saati Binance Borsasında (BTC - Bandında)
 En Çok Yükselen 5 :
 $POE : %4.12 
 $VIB : %1.84 
 $XZC : %1.52… https://t.co/urpg6iUnnU",,Tue Dec 19 19:37:04 +0000 2017
7,633,439,,,Caleb Reale,,140,Forealedoe,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",943203522740473857,"RT @futureearn: If NEO  doesn’t hit atleast $60 by end of 2017, I’ll send 10 $NEO to everyone who R’Ts this tweet. $xrp $btc $ltc #bitcoin…",,Tue Dec 19 19:36:58 +0000 2017
8,174,333,,Karaj,Hamed Salehi Rad,,18,HamedSalehiRad1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",943203500003155980,"RT @CryptoNoob4: @justinvendetta $1B market cap, not to shabby. Congrats and appreciate all your hard work! $xvg $verge @XVGWhale https://t…",,Tue Dec 19 19:36:52 +0000 2017
9,127,536,,Türkiye,Groot,,1,ploudredck,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",943203447893057536,"RT @ploudredck: If you use my referral links, I'll be the happiest. These are good.
Want leverage: https://t.co/rObEDIu5Ut    
Wanna regula…",,Tue Dec 19 19:36:40 +0000 2017
