,follower_count,name,retweet_count,status_text,tmstamp
0,2939,Fake Crypto News,1,RT @CryptoPanicCom: ⬇ -3 Early Bitcoin Investor Says Bitcoin Could Drop 50% Before Going Higher https://t.co/qKcFQyP683 $BTC #bitcoin $XRP…,Thu Dec 21 03:36:59 +0000 2017
1,1451,☆Орлан☭@AI民主制,43,"RT @coin_post: 『XRP100円』『リップル100円』が日本のツイッタートレンドに

CoinPost リップルニュース
https://t.co/ZkwxwKpWtZ
#XRP #リップル #仮想通貨 #XRP100円 #リップル100円 https://t.c…",Thu Dec 21 03:36:58 +0000 2017
2,388,Saks,1,RT @Asaks02: Ripple is starting to gain traction we are looking at dollars shortly $$$🚀🚀🚀 $XRP #Ripple @Ripple @MarketWatch @bgarlinghouse…,Thu Dec 21 03:36:58 +0000 2017
3,26,Adnan Munawar,1,"RT @rizwanssyed: #XRP #XVG #IOTA #STEEM  #LTC #ETH
All the way!",Thu Dec 21 03:36:58 +0000 2017
4,314,じょい,0,XRP利確したし、安らかな気持ちで出かける,Thu Dec 21 03:36:57 +0000 2017
5,64,kou有能通貨買い,0,昨日のxrpの買い増しは成功やたみたい😳,Thu Dec 21 03:36:56 +0000 2017
6,10,JP co.,16,RT @mBTCPizpie: Meanwhile at $XRP https://t.co/z20WJtuEhO,Thu Dec 21 03:36:55 +0000 2017
7,62,C.G-san👴りっぷらー,0,てか、 $XRP ってまだまだ好材料発表が控えててこれか・・・ｺﾞｸﾘ・・・,Thu Dec 21 03:36:55 +0000 2017
8,26,Adnan Munawar,1,RT @rizwanssyed: People whom have no patience to HODL should not invest in #XRP. As #XRP will not make you rich right away. It is long term…,Thu Dec 21 03:36:54 +0000 2017
9,70,しゃのわーる,0,"XRPさいこーやん
うまうまですわー",Thu Dec 21 03:36:54 +0000 2017
10,136,s_askari,0,"xrp -waves-ltc ... üçündende kardayim şuanda..
ama emir girmeden uyuyacağım.. 
yorgun düştüm ekrana bakmaktan

riks… https://t.co/GFd7Nspjr5",Thu Dec 21 03:36:53 +0000 2017
11,134,アウトレットカーライフ,43,"RT @coin_post: 『XRP100円』『リップル100円』が日本のツイッタートレンドに

CoinPost リップルニュース
https://t.co/ZkwxwKpWtZ
#XRP #リップル #仮想通貨 #XRP100円 #リップル100円 https://t.c…",Thu Dec 21 03:36:53 +0000 2017
12,1627,Evian,424,RT @Crypto_Money1: Retweet if you believe ripple will hit $1 this week coming 🚀 #Xrp #Ripple,Thu Dec 21 03:36:52 +0000 2017
13,460,相田,0,XRP100円超えたし赤飯だな🍱,Thu Dec 21 03:36:48 +0000 2017
14,150,陽菜パパ,42,"RT @kuronecoin: 【速報】XRP100円ついに大気圏突破‼️
ありがとうリップル！㊗️
おめでとうリップラーの皆さん🎉

それでは、皆さんご一緒に！！
「Ripple to the moon🚀🌕」 https://t.co/i26aTlvF1M",Thu Dec 21 03:36:48 +0000 2017
15,923,kappy@キラキラ😇風🐠🐟🐡,0,"信じて待ってて良かった💓
リップラーのみなさん、ありがとう

♪
ふんふーん
　　∧＿∧ ♪ .
((o(・ω・` )(ｏ))
 　 /　  　/
　 し―-Ｊ ♪
　ふふんふーん
　　∧＿∧
((ｏ(´・ω・)o))
　　ヽ… https://t.co/iSdt3Zmtiy",Thu Dec 21 03:36:47 +0000 2017
16,68,高野 真之介@ﾘｯﾌﾟﾗｰ,43,"RT @coin_post: 『XRP100円』『リップル100円』が日本のツイッタートレンドに

CoinPost リップルニュース
https://t.co/ZkwxwKpWtZ
#XRP #リップル #仮想通貨 #XRP100円 #リップル100円 https://t.c…",Thu Dec 21 03:36:47 +0000 2017
17,52,Aprilcadabra,4,RT @TheRockwell: If $XRP ever hits $7 https://t.co/s7JFqHKrnm,Thu Dec 21 03:36:47 +0000 2017
18,60,Jarred Ray,20,"RT @haydentiff: There are literally so many different things that $XRP could be used for in the financial world, it actually starts to make…",Thu Dec 21 03:36:45 +0000 2017
19,667,jun,5,"RT @nomad_btc: 「XRP100円」
「リップル100円」
Twitterのトレンド入り･:*+.\(( °ω° ))/.:+ https://t.co/JsrL6wmYCF",Thu Dec 21 03:36:45 +0000 2017
20,127,たけまろモナコイン生活,29,"RT @coin_post: XRP100円突破　ATH更新

XRP(リップル)の価格がフィアット建で100円を突破した。

上昇ニュースまとめ
https://t.co/8tMcz1Mebj
銀行Swissquote: XRP追加
https://t.co/qC1vI8kO…",Thu Dec 21 03:36:44 +0000 2017
21,1156,DIMARINI,80,"RT @bakuagecoin: リップル100円おめでと〜〜🎊㊗️

私今、涙出てるよ…😭😭😭

#XRP https://t.co/3xSmXiImCb",Thu Dec 21 03:36:43 +0000 2017
22,314,Bari sounds,4,RT @RippleMarket: 1 Ripple = 0.9648 USD. Ripple has increased by 0.0358 USD in 30 mins. Live price: https://t.co/OCxPdK7qqL #ripple #xrp #c…,Thu Dec 21 03:36:43 +0000 2017
23,244,つ,0,"xrp今日材料あったっけ？
仕込み切れてないの、、、",Thu Dec 21 03:36:43 +0000 2017
24,252,john yang,13,RT @Hodor7777: This is the next level of awesome.  Happy Holidays to #XRP and @Ripple !  💙💙💙 https://t.co/d6Qid5xbkD,Thu Dec 21 03:36:43 +0000 2017
25,7009,仮想通貨小学生 ケン,0,"XRP100円で盛り上がるツイッター。
しかし「仮想通貨小学生 ケン」さんは冷静だった。",Thu Dec 21 03:36:41 +0000 2017
26,4038,kazu,0,"バジが来た時点でそれと関係がある通貨、XRPが来た時点でそれと関係がある通貨…チャイナが…etc…
って考えるだけで簡単に稼げますよね☺",Thu Dec 21 03:36:40 +0000 2017
27,308,アルトコイン比較,0,"ひと月前と比べたらどの通貨も桁違いの相場になりました。先程遂に#XRP も100円を超えました。
https://t.co/lZLiOE07XT #仮想通貨 の各取引所の価格を比較してます https://t.co/UjRN6rzmIh",Thu Dec 21 03:36:39 +0000 2017
28,92,名古屋の怪人@クリボッチ,1,RT @BAKE_OPENLAB: 仮想通貨のリップルが100円超えしたことが話題になってますが、わたしは高知県の乳酸菌ソウルドリンク「リープル」の存在が気になって仕方ない…！ #XRP https://t.co/8qjjDYLrzd,Thu Dec 21 03:36:38 +0000 2017
29,50,pukicokutakuta,126,"RT @coinciana: XRP！！本当に…年内100円になったね！
おめでとう！ありがとう！！
（ビケ先生のりぷる君に乗ってもらいました♪） https://t.co/WtxOLL2rFG",Thu Dec 21 03:36:38 +0000 2017
30,276,Inner devil,80,"RT @bakuagecoin: リップル100円おめでと〜〜🎊㊗️

私今、涙出てるよ…😭😭😭

#XRP https://t.co/3xSmXiImCb",Thu Dec 21 03:36:37 +0000 2017
31,562,dandxxx(酒),0,"@cryptcoin_xrp ですです。材料たっぷりです。

BTC派も、トランザクション詰まりと手数料に嫌気がさしてきてるのはツイート見ててわかります。

なので個人的にはBTCの値段が落ちてきて、最終的には並ぶと思ってます(切… https://t.co/d9nos7NCwr",Thu Dec 21 03:36:37 +0000 2017
32,81,Tarun [XRP] [LTC] [ETH],94,RT @cryptfx: Ripple to the moon wars! Grab your tickets now 😄📈🚀 #xrp $xrp https://t.co/hJsx8dumbW,Thu Dec 21 03:36:37 +0000 2017
33,190,Pero,0,"XRPそのまま1000円行ってくれ。
なんでもおごるし。",Thu Dec 21 03:36:35 +0000 2017
34,138,まなまなさん,0,XRP寝てる間に...おめでとう㊗️,Thu Dec 21 03:36:33 +0000 2017
35,264,フジ腐2o,80,"RT @bakuagecoin: リップル100円おめでと〜〜🎊㊗️

私今、涙出てるよ…😭😭😭

#XRP https://t.co/3xSmXiImCb",Thu Dec 21 03:36:31 +0000 2017
36,297,よしかわりょう,0,"ripple年内100円超えおめでとー🎊

#Ripple #XRP https://t.co/v7EcfM9rd3",Thu Dec 21 03:36:30 +0000 2017
37,4,cryptohulk,0,#XRP getting close on binance 🚀 https://t.co/RUzk3WFbrv,Thu Dec 21 03:36:30 +0000 2017
38,32,ロスカのごーや@仮想通貨,0,XRPは今朝手放しました(´；ω；`),Thu Dec 21 03:36:30 +0000 2017
39,292,caramel24,1,RT @75ringo75ringo: #XRP 100円到達！おめでとう㊗️ 動画で色々と偉そうに語ってましたが無事に年内100円を達成。ホッとしていますw 暴落しても100円を超える力が証明されたのは事実。ね？上がったでしょ？笑 https://t.co/q7xagdZDsF,Thu Dec 21 03:36:28 +0000 2017
40,495,Crypto Currency™,24,RT @xrptips: $1.00 USD may serve as reverse resistance for $XRP (if it passes one it may rocket much higher rather than correct).,Thu Dec 21 03:36:28 +0000 2017
41,2244,360Trader,1,$xrp BOOOOOOOOOOOM. #ripple https://t.co/Cl1LPdHoes,Thu Dec 21 03:36:27 +0000 2017
42,5102,るねきょうじゅ,0,XRP〜〜,Thu Dec 21 03:36:25 +0000 2017
43,840,筋肉介護士,126,"RT @coinciana: XRP！！本当に…年内100円になったね！
おめでとう！ありがとう！！
（ビケ先生のりぷる君に乗ってもらいました♪） https://t.co/WtxOLL2rFG",Thu Dec 21 03:36:24 +0000 2017
44,27,evi,0,"リップル  XRP
100円おめでとう🎉＼(^^)／

#リップル #xrp #ripple https://t.co/yozDvZSV3n",Thu Dec 21 03:36:23 +0000 2017
45,197,Clover(◍•ᴗ•◍)ノ❀,3,RT @Keiki_XRP: 4日間XRP/BTCチャートでも標準返済ボラティリティーが＋1σ 上抜け。これから大きなトレンドの変化が生じるだろう。 https://t.co/VHMKYmXmMp,Thu Dec 21 03:36:21 +0000 2017
46,43,クズ野郎,1,"RT @cyisurf: ドル建ての第一目標1㌦まであと少し👍👍👍
$XRP #XRP #リップル https://t.co/unY5FIdnE2",Thu Dec 21 03:36:20 +0000 2017
47,109,Luckynany,1,"RT @HaraldoXRP: When I got a trade on I like to listen to some 90's R&amp;B, $XRP is as smooth as a P Diddy production right now.
https://t.co/…",Thu Dec 21 03:36:18 +0000 2017
48,141,オスナ@復活,43,"RT @coin_post: 『XRP100円』『リップル100円』が日本のツイッタートレンドに

CoinPost リップルニュース
https://t.co/ZkwxwKpWtZ
#XRP #リップル #仮想通貨 #XRP100円 #リップル100円 https://t.c…",Thu Dec 21 03:36:16 +0000 2017
49,127,たけまろモナコイン生活,10,"RT @poipoikunpoi: Twitterのオススメトレンドが！！！

「XRP100」

「リップル100円」

でダブルランクイン！！！

#XRP #リップル https://t.co/w3XF04PeGp",Thu Dec 21 03:36:15 +0000 2017
50,261,とたなんとか,0,XRPイナゴ はじめました,Thu Dec 21 03:36:15 +0000 2017
